[2026-07-27T14:09:57.289Z] [INFO] Worker map completed in 0ms
[2026-07-27T14:09:57.290Z] [INFO] Starting worker: optimize (1/2 concurrent)
[2026-07-27T14:09:57.290Z] [INFO] Worker optimize completed in 1ms
[2026-07-27T14:09:57.290Z] [INFO] Starting worker: consolidate (1/2 concurrent)
[2026-07-27T14:09:57.290Z] [INFO] Consolidate worker: distillation skipped (no-db)
[2026-07-27T14:09:57.290Z] [INFO] Starting worker: testgaps (2/2 concurrent)
[2026-07-27T14:09:57.290Z] [INFO] Worker consolidate completed in 0ms
[2026-07-27T14:09:57.291Z] [INFO] Worker testgaps completed in 1ms
[2026-07-27T14:09:57.291Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-27T14:09:57.291Z] [INFO] Worker audit completed in 0ms
[2026-07-27T14:13:57.293Z] [INFO] Starting worker: optimize (1/2 concurrent)
[2026-07-27T14:13:57.293Z] [INFO] Worker optimize completed in 0ms
[2026-07-27T14:16:57.320Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-27T14:16:57.320Z] [INFO] Worker audit completed in 1ms
[2026-07-27T14:22:57.262Z] [INFO] Starting worker: testgaps (1/2 concurrent)
[2026-07-27T14:22:57.262Z] [INFO] Worker testgaps completed in 0ms
[2026-07-27T14:24:57.290Z] [INFO] Starting worker: map (1/2 concurrent)
[2026-07-27T14:24:57.290Z] [INFO] Worker map completed in 0ms
[2026-07-27T14:26:57.321Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-27T14:26:57.321Z] [INFO] Worker audit completed in 0ms
[2026-07-27T14:28:57.295Z] [INFO] Worker optimize deferred: CPU load too high: 27.50
[2026-07-27T14:30:57.251Z] [INFO] Worker consolidate deferred: CPU load too high: 16.11
[2026-07-27T14:36:57.323Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-27T14:36:57.323Z] [INFO] Worker audit completed in 0ms
[2026-07-27T14:36:57.324Z] [INFO] Starting worker: optimize (1/2 concurrent)
[2026-07-27T14:36:57.324Z] [INFO] Worker optimize completed in 1ms
[2026-07-27T14:36:57.324Z] [INFO] Starting worker: consolidate (1/2 concurrent)
[2026-07-27T14:36:57.324Z] [INFO] Consolidate worker: distillation skipped (no-db)
[2026-07-27T14:36:57.324Z] [INFO] Worker consolidate completed in 0ms
[2026-07-27T14:39:57.291Z] [INFO] Starting worker: map (1/2 concurrent)
[2026-07-27T14:39:57.291Z] [INFO] Worker map completed in 0ms
[2026-07-27T14:42:57.262Z] [INFO] Worker testgaps deferred: CPU load too high: 14.30
[2026-07-27T14:43:57.296Z] [INFO] Starting worker: optimize (1/2 concurrent)
[2026-07-27T14:43:57.296Z] [INFO] Worker optimize completed in 1ms
[2026-07-27T14:43:57.296Z] [INFO] Starting worker: testgaps (1/2 concurrent)
[2026-07-27T14:43:57.296Z] [INFO] Worker testgaps completed in 0ms
[2026-07-27T14:46:57.324Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-27T14:46:57.324Z] [INFO] Worker audit completed in 0ms
[2026-07-27T14:54:57.294Z] [INFO] Starting worker: map (1/2 concurrent)
[2026-07-27T14:54:57.294Z] [INFO] Worker map completed in 2ms
